date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:00:15	1439/1439	---MCZ	404	error ('Not%20Found')	text/html	etag:1607202467-ssl-df	https://saund-harpreet.netlify.app/robots.txt		(from )
05:00:15	9357/9357	---MCZ	200	added ('OK')	text/html	etag:%2216d7c12048b71778e9b2217ec22f471d-ssl-df%22	https://saund-harpreet.netlify.app/	C:/My%20Web%20Sites/Website/saund-harpreet.netlify.app/index.html	(from )
05:00:16	14271/14271	---M--	200	added ('OK')	image/png	etag:%229f6b1494993be5c95472b0ef7e8c6de6-ssl%22	https://saund-harpreet.netlify.app/images/suitcase.png	C:/My%20Web%20Sites/Website/saund-harpreet.netlify.app/images/suitcase.png	(from https://saund-harpreet.netlify.app/)
05:00:16	3861/3861	---M-Z	200	added ('OK')	text/css	etag:%225eb03f2b-f15%22	https://cdnjs.cloudflare.com/ajax/libs/node-waves/0.7.6/waves.min.css	C:/My%20Web%20Sites/Website/cdnjs.cloudflare.com/ajax/libs/node-waves/0.7.6/waves.min.css	(from https://saund-harpreet.netlify.app/)
05:00:16	52/52	---MCZ	302	error ('Found')	text/plain	date:Fri,%2014%20May%202021%2009:00:13%20GMT	https://unpkg.com/aos@next/dist/aos.css	C:/My%20Web%20Sites/Website/unpkg.com/aos@next/dist/aos.2.delayed	(from https://saund-harpreet.netlify.app/)
05:00:17	28765/28765	---MCZ	200	added ('OK')	text/css	etag:%22705d-miajSdIaS4cfRd/RJKQ/raT5S5g%22	https://unpkg.com/aos@3.0.0-beta.6/dist/aos.css	C:/My%20Web%20Sites/Website/unpkg.com/aos@3.0.0-beta.6/dist/aos.css	(from https://saund-harpreet.netlify.app/)
05:00:17	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-d17%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	C:/My%20Web%20Sites/Website/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	(from https://saund-harpreet.netlify.app/)
05:00:18	13020/13020	---MCZ	200	added ('OK')	text/css	etag:%225c48022c8663a8a09777606083262879-ssl-df%22	https://saund-harpreet.netlify.app/css/style.css	C:/My%20Web%20Sites/Website/saund-harpreet.netlify.app/css/style.css	(from https://saund-harpreet.netlify.app/)
05:00:19	145888/145888	---MCZ	200	added ('OK')	application/pdf	etag:%22997e99522276d4447e12e66589d02f70-ssl-df%22	https://saund-harpreet.netlify.app/files/Resume.pdf	C:/My%20Web%20Sites/Website/saund-harpreet.netlify.app/files/Resume.pdf	(from https://saund-harpreet.netlify.app/)
05:00:20	89476/89476	---M-Z	200	added ('OK')	application/javascript	etag:W/%225eb09f0f-15d84%22	https://code.jquery.com/jquery-3.5.1.min.js	C:/My%20Web%20Sites/Website/code.jquery.com/jquery-3.5.1.min.js	(from https://saund-harpreet.netlify.app/)
05:00:20	450806/450806	---M--	200	added ('OK')	image/png	etag:%228fedc421d59745697f159a6513ab8acb-ssl%22	https://saund-harpreet.netlify.app/images/profile.png	C:/My%20Web%20Sites/Website/saund-harpreet.netlify.app/images/profile.png	(from https://saund-harpreet.netlify.app/)
